original_text,translated_text,experience
"इससे इनकार अतिरिक्त मोटाई स्वरूप काफी अंतर पैदा देती , आईपैड मिनी पक्ष ।","This refusal excess thickness form creates a great difference, the iPad mini side.",negative
"अब अगर बैट्री बैक अप नजर डालें , आपको 320mah बैटरी मिलेगी ।","Now if you look at the battery back up, you will get a 320mAh battery.",neutral
"कम रोशनी खींचे गए फोटो नॉइज़ देखने मिली , फोन डिस्प्ले देखने क्वॉलिटी ठीक ठाक लगती ।","Low light drawn photo noise was seen, the quality would seem fine to see the phone display.",negative
टैबलेट एप्लीकेशन वीडियो देखने गेम्स खेलने सुविधा ।,Tablet application video watching games play features.,neutral
मुख्य मंदिर पूर्व सैकड़ों बड़े छोटे घंटी लटका देखने रमण्ीय लगता ।,The main temple seemed delightful to see hundreds of big small bells hanging.,positive
दोनों गेमिंग परफॉरमेंस तुलना साबित जेड500 परफॉरमेंस जेड580 बेहतर ।,Both gaming performance comparisons prove Jade 500 Performance Z 580 Better.,positive
फोन स्क्रीन ब्राइटनैस कम ज्यादा विकल्प मिलेगा ।,Phone screen brightness will get less option.,neutral
1024 x 760 पिक्सेल रेजोल्यूशन 8इंच आईपीएस एलसीडी डिस्प्ले ।,1024 x 760 pixel resolution 8 inch IPS LCD display.,neutral
भुज पहुंचते हस्तशिल्प कलाकारों मिल ।,Meet handicrafts artists reaching Bhuj.,neutral
मीडियापैड 10 लिंक स्पीकर्स आवाज़ काफी तेज़ ।,Media pad 10 link speaker voice is quite loud.,positive
"यूथ पसंद आएंगे , क्योंकि बजट ।","Youth will be liked, because the budget.",positive
"आपके हाथ पसीने तर , आपको अतिरिक्त सावधानी बरतने जरूरत ।","Your hands sweat, you need to take extra precautions.",negative
"हालांकि , उनमें 10 इंची स्क्रीन हैः बल्कि अधिकांश टैबलेट 7 इंची 8 इंची ।","However, it has a 10 inch screen but most tablets 7 inch 8 inch.",neutral
डायरेक्टर जस्टिन लिन हर आश्चर्यचकित ।,Director Justin Lynn Surprised.,positive
"अलावा , गूगल ऐप्स अन्य फीचर 9 यूजर्स वीडियो चैटिंग ।","In addition, Google apps other feature 9 users video chatting.",neutral
"फिल्म देखते उत्तर भारत दर्शक थोड़ा सा हंसेंगे , क्योंकि शब्दक , संवाद मुहावरे रोजमर्रा जिंदगी ।","Watching the film, North India Viewers will laugh a little, because the word, dialogue idiom everyday life.",positive
"हर फिल्म निर्माण पैसा , मेहनत समय लगता ।","Every film producing money, hard work would take time.",neutral
प्रोसेसर कमजोर ।,Processor weak.,negative
"इंटरनेट लाइव टीवी मूवी वेबसाइट्स नेटफ्लिक्स hbo फिल्में , टीवी शो बाकी वीडियोज टीवी देखे ।","Internet Live TV Movie Websites Watch Netflix HBO movies, TV show rest videos TV.",positive
चिप कंप्यूटर रास्पबेरी पीआई2 सस्ता ।,Chip Computer Raspberry Pi 2 Cheap.,positive
चिप कंप्यूटर कीमत इतनी सस्ती पीछे कारण लगा सस्ता चाइनीज कोर टेबलेट लिया ।,The chip computer price was so cheaply the reason behind the cheaper Chinese core tablet.,positive
अलावा बैकपैनल इस्तेमाल गई प्लास्टिक बेहद पतली ।,"In addition to backpanel, plastic used extremely thin.",negative
मात्र चार्ज मार्टिन नोटिफायर 5 दिन चला हालांकि अधिक आश्चर्यचकित वाला क्योंकि सी स्मार्ट एक्टिविटीज ।,"Only the charge Martin notify lasted 5 days, though more surprising because C smart activities.",positive
दीपिका पादुकोण नृत्य प्रतिभा झलक भर मिल पाती ।,Deepika Padukone dance talent was found to be full.,neutral
बाकी सारे टेबलेट्स अब आगे बिल्कुल फीके नज़र आते ।,All the other tablets would now look completely faded.,positive
"बीबीएम वर्जन 7 bbm version 7 नया फीचर जिसका नाम बीबीएम वॉयस bbm voice , जिससे बीबीएम bbm उपभोक्ता वाईफाई wifi नेटवर्क मुफ्त वॉयस कॉल ।","BBM version 7 BBM Version 7 new feature named BBM Voice BBM Voice, which led to BBM BBM Consumer WiFi WiFi Network Free Voice Call.",neutral
तार्र्किकता गीतों अनेक दृश्यों ।,Terracity songs many scenes.,neutral
"7इंच डिसप्ले , जिंक जेड990 टैबलेट मुकाबले अन्य टैबलेट्स बीटेल , रिलायंस , एचसीएल आईबेरी ।","7 inch display, Zinc Z 990 Tablet Mogs Other Tablets Betail, Reliance, HCL Iberry.",neutral
वाइल्ड लाइफ देखने शौक रखने राजस्थान माउंट आबू वन्यजीव अभयारण्य वाइल्ड लाइफ सेंचुरी जरूर जाएं ।,"Keep a hobby to watch wild life, Rajasthan Mount Abu Wildlife Sanctuary must go to Wildlife Century.",positive
लुक मुख्य मुद्दा सामने हिस्सा ।,Look main issue in front.,neutral
"अगर 10इंच टेबलेट चाहते , 16 जीबी वाई फाई आईपैड अब बाज़ार उपलब्ध ।","If you want 10 inch tablet, 16 GB Wi Fi iPad now market available.",neutral
फ्रंट कैमरे मामले रेडमी 1एस ज्यादा अच्छा ।,Front camera case Redmi 1S better.,positive
दिवंगत पॉल वॉकर गुड बाय शामिल ।,Late Paul Walker Good bye included.,neutral
"ईमानदारी , अगर तेज डाटा ट्रांसफर मोड यूएसबी होस्ट , ब्लूटूथ बारे क्यों सोचते","Honesty, if fast data transfer mode USB host, why do you think of Bluetooth",neutral
पांच छह एप्लीकेशन साइड बाय साइड रन ।,Five six application side by side runs.,positive
हमारे बैट्री परिक्षण पता चला साड़ेपाच घंटो फुल एचडी वीडीयो लगातार चला ।,Our battery test revealed the Sadeepach hours full HD video continued.,neutral
फ्लॉलेस फिनिश गोलाकार किनारे फोन मजबूती एहसास कराते ।,Floles Finnish would make the circular edge phone strengthened.,positive
बड़ा थ्रिल देखने मिलता ।,A big thrill was seen.,negative
पर्याप्त मात्रा रहस्य रोमांच ।,Adequate volume mystery adventure.,positive
कैमरा सामने आने आब्जेक्ट 3डी मैप तैयार उसकी फोटो वीडियो बनाने सक्षम ।,Camera Above Recruit 3D Map ready to create her photo video.,positive
नाच गाने ।,Dance songs.,neutral
"कंपनी ईडीजीई , जीपीआरएस , वाय फाय , ब्लूटुथ , यूएसबी ओटीजी कनेक्टिविटी ऑप्शंस दिए ।","Companies EDGE, GPRS, Y Fay, Bluetooth, USB OTG connectivity options were given.",neutral
7 इंच टैबलेट बिना शक स्लीक स्टाइलिश जिसमें डूअल टोन कलर स्कीम डिवाइस क्लॉस टच देती ।,7 inch tablet without suspicion sleek stylish in which dual tone color scheme device was given a claus touch.,positive
टेबलेट पीछे बिना फ़्लैश कैमरे पॉवर बटन वॉल्यूम रॉकर ।,Tablet rear flash camera power button volume rocker.,neutral
गेम खेलते बैटरी बड़ी तेजी खत्म ।,Battery playing game is over.,negative
फिल्म किरदार ढंग लिखा ।,Wrote the film character manner.,negative
प्रकार आसानी एप्प करेंट टैब बंद तथा हाल बंद किए गए एप्प पुनः देख ।,Type apps Current tabs off and see re -closure apps.,neutral
खूबसूरत बार सोनम साबित अगर ढंग स्क्रिप्ट किरदार मिले सीमाओं बावजूद फिल्म रोचक बना सकती ।,"Beautiful bar Sonam proves if the manner script character found, the film can make the film interesting.",positive
हिंदी फिल्म इंडस्ट्री बेपरवाह रवैए ओर फिल्म इंगित करती ।,The Hindi film industry indicates unaware of the indescribable attitude and the film.,negative
दाईं ओर यूएसबी चार्जिंग पोर्ट बटन बाईं ओर बटन ।,On the right USB charging port button button on the left.,neutral
राजगीर पांच चट्टानी पहाड़ियों घिरा ।,Rajgir surrounded five rocky hills.,neutral
"कीमत बात शुरुआत $ 10,000 6,27,500 , apple watch iphone 5 , iphone 5c , iphone 5s , iphone 6 iphone 6 plus काम करती , 82 आईओएस रन करती ।","Price talk starts $ 10,000 6,27,500, Apple Watch iPhone 5, iPhone 5C, iPhone 5S, iPhone 6 iPhone 6 Plus works, 82 iOS runs.",neutral
सूर्य रौशनी आसानी इस्तेमाल एंगल्स सराहनीय प्रतिद्वंदियो मुकाबले बेहतर |,Sunlight Use Ease Angles Better than commendable rivals.,positive
वजन 130 ग्राम ।,Weight 130 grams.,neutral
फिल्म गीत संगीत थोड़ा कमजोर ।,Film song music a little weak.,negative
उनसे ऐसा जाता पाकिस्तान पहचान मिलती ।,He would have got such a identity from them.,neutral
दिखने बेहद खूबसूरत ।,Look very beautiful.,positive
दिलचस्प गेम प्ले ।,Interesting game play.,positive
"अनूठा कॉंसेप्ट ब्रिटिश काल चला आ , जहां ब्रिटिश शासकों सेवा दी जाती ।","The unique concept came to the British period, where the British rulers were served.",neutral
भारत सुंदर प्राकृतिक वन्यजीव पार्क पर्यटकों आकर्षित ।,India attracted beautiful natural wildlife park tourists.,positive
बच्चों लेडीज शानदार कैमरा ।,Kids Ladies Great camera.,positive
फोन 4जी एलटीई कमी कही सकती ।,The phone can say 4G LTE deficiency.,negative
बैड बॉय सीरियल किसर रूप विख्यात इमरान हाशमी फिल्म किरदार निखिल न्याय पाते ।,Bad Boy serial Kisar Roop Famous Emraan Hashmi film character Nikhil would get justice.,negative
टॉप प्रोटेक्टिव ग्लास पैनल फिंगरप्रिंट मैग्नेट ।,Top protective glass panel fingerprint magnet.,negative
पैराग्लाइडिंग सही समय मई जून सितंबर अक्टूबर ।,Paragliding perfect time May June September October.,neutral
"गाड़ियों खिड़कियों क्षण प्रतिक्षण तेजी गुजरते वन , धान खेत , हिमाच्छिदत पहाड़ों चोटियाँ सफर सुहाना बनाने हैसियत रखते ।","Trains windows would have been able to make the forest, paddy fields, snowy mountains, to make the peaks of the windows moment.",positive
"अगर जाइरो जाने योजना बना हरी भरी शांन्त टैली घाटी , 5000 हजार साल पुरानी मेघना गुफा मंदिर ।","If Jairo is planned to go to the green shannt tally valley, 5000 thousand years old Meghna Cave Temple.",neutral
2600 एमएएच बैटरी ।,2600 mAh battery.,neutral
"मीनू आपको एप्स तुरंत पहुंचा देता , पेन काम दायरे आते ।","Meenu would deliver you apps immediately, pen work scope would come.",positive
"श्रीनगर कश्मीरी पश्मीना शॉल , स्टोल लकड़ी शिल्प दुनिया भर प्रसिद्ध ।","Srinagar Kashmiri Pashmina Shawl, Stall Wood Craft Famous worldwide.",positive
हाथ इस्तेमाल बड़ा ।,Hands used big.,negative
"ऐप माध्यम मूवीज़ ट्रेलर्स देख , रिव्यु बॉक्स ऑफिस प्रेडिक्शन्स जान ।","App medium movies trailers see, review box office predictions jaan.",neutral
इंटरनेट मूवी डेटाबेस imdb साइट हमें जरुर जाना चाहिए अगर आपने लम्बे समय मूवी टीवी सिरिअल देखा ।,Internet movie database imDB site must go to us if you watched the movie TV serial for a long time.,positive
"वाम्मी 7 क्षमता 1080 पी पूर्ण एचडी वीडियो स्ट्रीमिंग तथा 400 मेगाहर्ट्ज समर्पित जीपीयू उन्नत फ्लैश एप्प , इटरेक्टिव एप्प तथा पूर्ण एचडी वीडियो लगे ।","Left 7 capacity 1080p full HD video streaming and 400 MHz dedicated GPU Advanced Flash apps, Itaractative app and full HD video.",neutral
"सिया भूमिका अमायरा दस्तूर कमजोर , जबकि अच्छे दृश्य मिले ।","Siya Bhumika Amaira Dastur weakened, while good scenes were found.",negative
डिवाइस साइड ट्रिम सिल्वर रंग लुक्स बढ़ा देता ।,The device would increase the side trim silver color looks.,positive
एप्पलीकेशन सपोर्ट ।,Application Support.,negative
होमी इन किरदारों माहौल मूड अच्छी चित्रित ।,Homi these characters atmosphere mood well painted.,positive
फोन लगी गई तस्वीर क्वा लिटी अच्छी कैमरा बेहद तेज ।,The phone got the picture quite good camera very fast.,positive
"गैलेक्सी टैब 2 1 गीगाहर्ट्ज़ डुएल कोर प्रोसेसर , 1 जीबी रैम ।","Galaxy Tab 2 1 GHz duel core processor, 1 GB RAM.",neutral
"अच्छी बात इन स्पीकर्स कॉल अटैंड , इनबिल्ड माइक्रोफोन ।","Good thing to these speakers call, input microphone.",positive
देवघर सती 52 शक्तिपीठों ।,Deoghar Sati 52 Shaktipeeths.,neutral
सुबह उठते अलॉर्म वाइब्रेट लगेगा ।,"In the morning, the alarm vibrate will take place.",neutral
हलांकि रियर कैमरे अच्छे स्पष्ट फोटो आते ।,"However, rear cameras would have good clear photos.",negative
गेम खेलते कम चलती ।,Playing the game less moving.,negative
अगर एक्स100 कहीं नकारात्मक बात आती केवल फीचर्स ।,"If the X10 is negatively talking, only features.",neutral
समय केवल एंड्रॉयड डिवाइसेज उपलब्ध ।,Time available only Android devices available.,neutral
उपन्यास दिल छू लेने वाली कहानी पर्दे दमदार तरीके दिखने उतने सफल ।,The novel heart touching story is as successful to see the curtains strong.,negative
वज़न 144 पौंड ।,Weight 144 pounds.,neutral
खाना पीना उतना मँहगा रहना जेब काफी भारी पड़ता ।,Drinking food would have been very heavy to keep it as expensive.,negative
बाबा बैद्यनाथ मंदिर परिसर पश्चिम देवघर मुख्य बाजार तीन मंदिर ।,Baba Baidyanath Temple Complex West Deoghar main market three temples.,neutral
"स्मार्टफ़ोन कनेक्टिविटी आप्शनस आपको 4g सपोर्ट वाई फाई , ब्लूटूथ , जीपीआरएस एज , जीपीएस 3g मिल ।","Smartphone connectivity options you get 4G support Wi -Fi, Bluetooth, GPRS Edge, GPS 3G Mill.",neutral
मसलन किरदार 80 दशक लगता ।,"For example, the character would take 80 decades.",neutral
दौरान आपको ऐसा लगेगा दुनिया ।,"During the world, you will feel like this.",positive
कथानक पटकथा संवाद जैसी चीजें भूल जाएं ।,Forget things like plot screenplay dialogue.,neutral
"चारों क्रोमबुक्स चिकलेट बोर्ड , इस्तेमाल आसान ।","All four chrombooks chiclet boards, easy to use.",positive
अन्य आदिवासी लोगों अलग अपा टनी लोग जाइरो क्षेत्र स्थाई निवासी ।,"Other tribal people separate Apna Tani people, Zero area permanent residents.",neutral
उद्यान पक्षी प्रेमियों स्वर्ग कम ।,Horticulture bird lovers heaven less.,positive
टैबलेट पीछे तरफ कैमरा लगा सामने तरफ फ्रंट पैनेल ऊपरी दाहिनी तरफ वीजीए कैमरा लगा ।,"The tablet placed the camera back on the front side, the front panel on the upper right side VGA camera.",neutral
मोबाइल ली गई फोटो अच्छी विडियो क्वालिटी खूब ।,Mobile photo taken good video quality.,positive
दूसरा कभी सीक्वल बनता चुनौती बीच तालमेल बैठाने ।,The second sequel to become a sequel to keep the challenge.,neutral
वेणुवन बांसों वन बसे वेणु विहार समय राजा बिम्बसार भगवान बुद्ध रहने बनवाया ।,Venuvan Bamboo One settled Venu Vihar at the time of King Bimbasar Lord Buddha was built.,neutral
वास्तविक फिल्म आपको जरूर महसूस होगी ।,You will definitely feel the real film.,neutral
"गंगा , यमुना सरस्वती नदियों यहां संगम , इसलिए त्रिवेणी संगम कहलाता ।","Ganga, Yamuna Saraswati rivers Sangam here, hence called Triveni Sangam.",neutral
"हमारी सलाह , खरीदने निर्णय समय इससे थोड़े महंगे गैलेक्सी टैब 730 अवश्य ध्यान ।","Our advice, deciding time to buy a little expensive Galaxy tab 730.",neutral
"ऎसी तकनीक , डिकोड , सर्क मुश्किल जाता ।","Such technology, decode, circle would go difficult.",neutral
इससे कथ्य अभिव्यक्ति व्यवधान आता ।,This brings narrative expression disruption.,neutral
अलावा मॉडल्स ज्यादा पावरफुल लैंस फीचर्स दिए गए ।,"Apart from models, more powerful lens features were given.",positive
", डिजिटल डिस्प्ले आता ।",", Digital display comes.",neutral
इसलिए फिल्म मजा लेने टूडी बेहतर विकल्प ।,Hence the better option to enjoy the film.,neutral
"एस60 5 इंच एचडी आईपीएस स्‍क्रीन दी गई 64 बिट 12 गिग क्‍वॉड कोर क्‍वॉलकॉम स्‍नैपड्रैगन 410 प्रोसेसर , 2 जीबी रैम माली 450 एमपी जीपीयू ।","S60 5 inch HD IPS screen given 64 bit 12 Gig Quad Core Quolcom Snapdragon 410 processor, 2 GB RAM Mali 450 MP GPU.",neutral
"फोन साइज फील दोनों मामले काफी कॉम्पैक्ट , सॉफ्ट एज कोने , चुभते ।","The phone size feel both cases quite compact, soft edge corner, pricking.",positive
नीलगिरि नीले पर्वतों बसा ऊटी दक्षिण भारत प्रमुख हिल स्टेशनों ।,Nilgiri blue mountains situated Ooty South India major hill stations.,positive
फिल्म कहानीकार राहिल काजी निर्देशक रवींद्र गौतम मकसद सफल ।,Film storyteller Rahil Qazi director Ravindra Gautam Maz success successful.,positive
34 दिनों यूज हमें पता चला रेगुलर यूज लगभग 12 घंटे मात्र चल पाता ।,We came to know for 34 days and regular use would have run only about 12 hours.,neutral
तीनों हिंदी सिनेमा अभिनय तीन भिन्न आयाम ।,All three Hindi cinema acting three different dimensions.,neutral
"भारी ऐप्स चलाने थोड़ा अटकने लगता , ज्यादातर यूज़र्स इस्तेमाल खास दिक्कत होगी ।","Writing heavy apps starts to get a little stuck, most of the users will be a special problem.",neutral
घड़ी 320 x 320 amoled स्‍क्रीन दी गई ।,The clock was given 320 x 320 amoled screen.,neutral
"प्राइस रेंज इंटेक्स ऐक्वा i7 लिया , जिसके स्पेसिफिकेशंस कैनवस टर्बो , 32 जीबी स्टॉरेज कपैसिटी ।","Price Range Intex Aqua i7 was taken, whose specifications canvas turbo, 32 GB storage capacity.",neutral
अगर कमियों दूर वाला अपडेट लाया जाए एंड्रॉयड 40 आईसीएस बेहतरीन परफार्मेंस देगा ।,Android 40 ICS will give excellent performance if the deficiencies are brought away.,positive
"रेगुलर डॉक्यूमेंट एडिटिंग , इंटरनेट ब्राउजिंग आपके पसंदीदा टीवी सिरीज मूवीज नोशन इंक केन अच्छा विकल्प शायद आपको मिले ।","Regular document editing, internet browsing your favorite TV series movies Nonson Inc.",negative
माइक्रोमैक्स इतनी कम कीमत 1 जीबी रैम देकर दूसरी कम्पनियों कड़ी चुनौती पेश ।,Micromax presented a tough challenge by giving such a low price 1 GB RAM.,positive
हरे पीले बीच मन खुश बैंगनी ।,Hare yellow middle mind happy purple.,positive
अफसोस दिबाकर टीम भाषा भोजपुरी प्रभावित दी ।,Sadly Dibakar Team Bhasha Bhojpuri impressed.,negative
खास वैसा साउंड सिग्नेचर हमें क्लिप्श एस4आर्इ मिलता ।,Special that sound signature we would get Clipsh S4 Ai.,neutral
"सामान्य इस्तेमाल बैटरी वाई फाई वेब ब्राउज़िंग , वीडियो , म्यूजिक , गेम्स सोशल नेटवर्किंग इस्तेमाल लगभग 3 दिन चल जाती , काफी अच्छा बैटरी परफॉरमेंस ।","Common use battery Wi -Fi web browsing, video, music, games social networking used for about 3 days, very good battery performance.",positive
"वन 970 प्रजाति पौधे , 174 प्रजातियों पक्षी , 39 स्तनधारी , 180 प्रजाति औषधीय पौधे पाए जाते ।","Forest 970 species plants, 174 species birds, 39 mammals, 180 species of medicinal plants were found.",neutral
ब्रोकन हॉसेस माध्यम फिल्ममेकर विधु विनोद चोपड़ा बोल्ड अटैंप्ट लिया दुर्भाग्यवश फेल दिखाई देता ।,Broken Hoses Medium Filmmaker Vidhu Vinod Chopra took a bold attack unfortunately.,neutral
एवरेज एंजॉय एज ऑफ अल्ट्रॉन पता लोग क्या चाहते ।,What do people want average enjoy age of ultronon address.,positive
अलावा फिल्म दिखाती अच्छा ।,The film shows the film good.,positive
पहाड़ सारी गुफाएं झरनें ।,Mountains all caves.,neutral
हुवावे मीडिया पैड 7 फनबुक पी 600 7 इंच स्‍कीन दी गई ।,The Huawei Media Pad 7 Funbook P600 7 inch Science was given.,neutral
सैमसंग स्‍मार्टवॉच खास फीचर कनेक्टिविटी ।,Samsung smartwatch special feature connectivity.,positive
आईपैड 2 बेहतर हार्डवेयर मूवी चलाना एडिट संभव ।,Ipad 2 Better hardware movie edit possible.,neutral
आसुस फोनपैड कैमरे परफॉरमेंस काफी निराशाजनक ।,Asus phonepad camera performance is quite disappointing.,negative
1280x720 पिक्सल्स रेजॉलूशन वाला 43 इंच एचडी आईपीएस डिस्प्ले ।,43 inch HD IPS display with 1280x720 pixels resolution.,neutral
इससे ज्यादा अलग काम डिवाइस जल्दी गर्म जाता जबकि कीमत आने बाजर अन्य उत्पादों ऐसी परेशानी आती ।,"More different work devices would get hot quickly, while the price of the price would cause other products.",negative
"गेम ठीक खेल पाएं , वक्त लगता ।","Get the game right, it takes time.",negative
"अलावा , कनेक्टिविटी यूएसबी 30 , यूएसबी 20 hdmi पोर्ट दिए गए ।","In addition, connectivity USB 30, USB 20 HDMI ports were given.",neutral
स्मार्टफ़ोन आपको मेमोरी कार्ड स्लॉट मिल ।,Smartphone you get memory card slot.,negative
"फिल्में 3डी कैमरे शूट , तकनीकी कुशलता बावजूद मिस्टर एक्स कथ्य निर्वाह नवीनता दिखती ।","Film 3D camera shoots, despite technical skills, looked Mr. X Katha subsistence innovation.",negative
अच्छी स्क्रीन ।,Good screen.,positive
आगे जाकर घटिया एक्टिंग फिल्म पानी फेर देते ।,"Going forward, he would turn a poor acting film.",negative
थोड़ी कन्‍फ्यूजिंग एप्पल वॉच ।,A little confusing Apple Watch.,negative
"रोहतांग 15 फीट करीब बर्फ जमा गई , जबकि बर्फ लदे पर्यटन स्थल सोलंग नाला , गुलाबा , राहलाफाल मढ़ी सैलानियों भरपूर मनोरंजन तैयार ।","Rohtang 15 feet of snow gathered, while snow -laden tourist destination Solang Nala, Gulaba, Rahalafal Mari tourists prepared entertainment.",positive
"जर्मन कंपनी फिसलर लॉन्च प्रेशर कूकर , प्रेशर कूकर आई खराबी मैसेज बताएगा","German company Ficler Launch Pressure Cooker, Pressure Cooker will tell the message message",neutral
कला यथास्थिति बनाए रखने हिमायती दरअसल फिल्म व्यवसाय रूप देखते ।,"Maintaining Arts Status quo, advocate actually would see the film business form.",neutral
"टैब सैमसंग ऐप , सैमसंग चैट ऑन , सैमसंग वॉयस , गूगल प्‍लस , प्‍ले बुक , प्‍ले म्‍यूजिक , प्‍ले स्‍टोर , वॉयस सर्च , यू ट्यूब , प्‍ले स्‍टोर , हैंगआउट जैसी दूसरी प्री लोडेड एप्‍लीकेशन दी गईं ।","Tab Samsung App, Samsung Chat on, Samsung Voice, Google Plus, Play Book, Play Music, Play Store, Voice Search, YouTube, Play Store, Hangout were given other pre -loaded applications.",neutral
फिल्म अच्छी बन सकती ।,The film can become good.,neutral
"भारतीय बाजार 27,900 रुपये रखी गई ।","The Indian market was kept at Rs 27,900.",neutral
दूसरी तरफ नवाजुद्दीन सिद्दीकी फितरत प्रभावित करती ।,On the other hand Nawazuddin Siddiqui would affect the nature.,positive
फराह खान शाह रुख खान पिछली दोनों फिल्में हूं ओम शांति ओम कमजोर फिल्म हैप्पी न्यू ईयर ।,Farah Khan Shah Rukh Khan Previous films Hoon Om Shanti Om weak film Happy New Year.,negative
"फिल्म मोड़ अधिक मरोड़ , समय तकलीफदेह जाते ।","The film turns more torso, time would go to time.",negative
साधारण बिल्ड क्वॉलिटी ।,Simple build quality.,negative
फेसबुक नए बटन तौर सेंड बटन प्रक्रिया शामिल ।,Facebook includes new buttons as sand button process.,neutral
दिल्ली स्थित ऐतिहासिक किला मुगलकालीन वास्तुकला नायाब धरोहर ।,Historical Fort Mughal architecture at Delhi is a unique heritage.,positive
किनारों कर्व डिजाइन ।,Side Curve Design.,neutral
"अपग्रेडेड लैंस , फास्टर इमेज प्रोसेसर तथा रेट्राकेबल ओएलईडी ट्रू फाइंडरटीएम जेडईआईएसएस टी ।","Upgraded Lans, Faster Image Processor and Retrachable OLED True FindeTM ZEISS T.",positive
अलावा फीचर्स बिना ब्रॉडकास्टर फाइल अपलोड किये रिप्पले सेव जाते ।,"Apart from uploading the features, the features would go to Repple Save after uploading the broadcaster file.",neutral
हाल सेन्टर एजुकेशन कंजर्वेशन वॉकवे शुरू ।,Hall Center Education Conservation Walkway starts.,neutral
फोन 2900 एमएएच बैटरी लगी काफी लंबे समय चलती ।,The phone would run for a long time with a 2900 mAh battery.,positive
"फ़ोन बायीं तरफ माइक्रो यूएसबी पोर्ट , माइक्रो एसडी कार्ड स्लॉट माइक्रो सिम कार्ड स्लॉट पानी सुरक्षा कवर ढंके ।",Micro USB port on the phone on the left side covered micro SD card slot micro SIM card slot water safety cover.,neutral
बेंचमार्क टेस्ट गैलेक्सी टैब 2 अन्य टेबलेट्स तुलना शानदार परफॉरमेंस देता ।,The benchmark test Galaxy Tab 2 gives excellent performance comparison comparison.,positive
"इतना , यहां पक्षियों अलग अलग प्रजातियां देखने मिल जाएंगी ।","So, different species will be seen here.",neutral
दर्शक सिहर सहम जाते ।,The audience would be shocked.,neutral
म्युजिक फिटनेस फीचर कॉल सुविधा ।,Music fitness feature call facility.,neutral
55 इंच बड़ी स्‍क्रीन पेश किए गए इनफोकस एम330 16 जीबी इंटरनल मैमोरी ।,55 inch large screen introduced Infocus M330 16 GB internal memory.,neutral
"शानदार परफार्मेंस , अच्छी बैटरी लाइफ , पकड़ने अच्छा ।","Great performance, good battery life, good catching.",positive
एमआई 4 आई डिस्प्ले स्क्रीन 5 इंच फुल एचडी ।,Mi4I display screen 5 inch full HD.,positive
आइपी67 सर्टिफाइड कारण धूल पानी पूरी सुरक्षित ।,IP 67 Certified Causes Dust Water Completely safe.,positive
हालांकि बजट फिलहाल इससे ज्यादा आशा ।,"However, the budget is more hopeful than this.",neutral
चौकोर आकार मंदिर चार दरवाजे ।,Square Size Temple Four Doors.,neutral
किला शहर प्रमुख पर्यटन स्थल ।,Fort city major tourist destination.,neutral
"डिवाइस फायदा , बैटरी लाइफ ।","Device Benefits, Battery Life.",positive
"अतीत ऐसी कथाएं देश इतिहास संरक्षण वर्तमान जरूरी , गहरे शोध साक्ष्यों आधार फिल्म कहानी लिखी ।","The past such stories wrote country history protection present, deep research evidence, Aadhaar film story.",neutral
समुचित मेकअप कॉस्ट्यूम किरदार निखरता ।,Proper makeup costume character shocking.,positive
"कंप्यूटर फुल वीडियो कॉन्फ्रेंस सॉल्युशन फुल एचडी वीडियो कैमरा , कंबाइंड माइक्रोफोन , स्पीकर्स तथा रिमोट कंट्रोल अया ।","Computer Full Video Conference Solutions Full HD Video Camera, Combined Microphone, Speakers and Remote Control.",neutral
ब्लुटूथ ।,Bluetooth.,negative
हर साल मानसून सीजन दौरान केरल प्रसिद्ध खेल स्नेक बोट रेस शुरू देखने दुनियाभर लोग जुटते ।,"Every year during the monsoon season, people all over the world gather to see Kerala famous sports snake boat race.",positive
"टेबलेट मूवी देखना , गेम्स खेलना मल्टीमीडिया चलाना काफी अच्छा अनुभव ।","Watching tablet movies, playing games is very good experience.",positive
लूमिया 920 lumia 920 डुअल कोर 15 गीगाहर्ट्ज क्वालकॉम स्नेपड्रैगन एस4 एमएसएम8960 मोबाइल प्रोसेसर एड्रीनो 225 ग्राफिक्स चिप 1 जीबी रैम ।,Lumia 920 Lumia 920 Dual Core 15 GHz Qualcomm Snapdragon S4 MSM 8960 Mobile Processor Adreno 225 graphics chip 1 GB RAM.,neutral
वज़ह नेक्सस 7 देखने एंगल शानदार ।,Was Nexus 7 Watching Angle Fantastic.,positive
79 इंच डिस्पले स्क्रीन आईपेड स्लिम एल्युमीनियम बॉडी डिजाइन ।,79 inch display screen iped slim aluminum body design.,neutral
"शानदार कैमरा क्वालिटी विडियो रिकार्डिंग , साउंड ऑडियो रिकार्डिंग क्वालिटी भरपूर लंबी बैटरी लाइफ ।","Great camera quality video recording, sound audio recording quality long battery life.",positive
"इन स्पीकर मॉडल lbs999 , स्पीकर मोबाइल स्टैंड काम ।","These speaker model LBS999, Speaker Mobile Stand Work.",neutral
माइक्रोफोन गुणवत्ता अच्छी ।,Microphone quality good.,positive
ऊपर ऑडियो जैक निचले भाग यूएसबी पोर्ट उपस्थित ।,The above audio jack lower part USB port present.,neutral
कूकू दावे मुताबिक वॉच साल भर चार्ज जरूरत ।,"According to the Kuku claim, the Watch requirement required throughout the year.",neutral
"इन स्पीकर कीमत 3,997 रुपए ।","These speakers price Rs 3,997.",neutral
